ID,Marca temporal,Autorizo,SEXO,GÉNERO,TERRITORIO O ZONA RESIDENCIA,MACROZONA,AÑO DE NACIMIENTO,ACTIVIDAD PRINCIPAL,TIPO DE INSTITUCIÓN DE DESEMPEÑO PRINCIPAL,ÁREA DE DESEMPEÑO I (OPCIONAL),ÁREA DE DESEMPEÑO II (OPCIONAL),P1 TRANSCRIPCIÓN: ¿Por qué cree ud. que Chile necesita una política de igualdad de género en CTCI?,P1 TOTAL_Sí cree que Chile necesita una política de género,P1 TOTAL_No cree que Chile necesita una política de género,P1 TOTAL_No sabe si Chile necesita una política de género,"P1 Sí, Otros",P1 Desarrollo,P1 Es un aporte a la generación de conocimiento,P1 Hombres y mujeres deben tener mismas oportunidades,P1 Falta inserción femenina,P1 Porque existe desigualdad de género,P1 Se necesita diversidad de género,P1 Para eliminar las brechas de género,P1 Generará mayor equidad,P1 Iría en beneficio de la sociedad,"P1 No, Otros",P1 Diferencia en accesos a estudios superiores,P1 No se necesita una política de igualdad de género,P1 Es ofensivo para las mujeres,P1 No sé,"P2 TRANSCRIPCIÓN: ¿Qué medidas cree usted que garantizan el acceso, el desarrollo y el liderazgo de mujeres en el sistema CTCI?",P2 Oportunidades para niñas y jóvenes,P2 Apoyo en roles femineizados,P2 Paridad / igualdad,P2 Potenciar desde la educación,P2 Derribar estereotipos,P2 Incorporar una perspectiva de género a más ámbitos,P2 Promover participación de mujeres en ciencias/investigación,P2 Cupos / cuotas de género / acciones afirmativas,P2 Transformar la cultura alrededor del género,P2 Proteger el ambiente laboral,P2 Evaluación ciega y transparente,"P3 TRANSCRIPCIÓN: Respecto al Eje 2, ¿de qué manera se podría incorporar la perspectiva de género en su disciplina o área de desempeño?",P3 Estudiar temas de género,P3 Potenciar desde la educación,P3 Promover participación de mujeres en ciencias e Investigación,P3 Paridad / igualdad,P3 Incorporar una perspectiva de género,P3 Reconocer y disminuir la brecha de género,P3 Fomentar la participación femenina a través de la formulación y evaluación de proyectos,P3 Reconocer la historia de la temática de género en la ciencia,P3 La investigación no debe estar ligada al género,P3 No aplica en mi disciplina,"P4 TRANSCRIPCIÓN: Teniendo en cuenta el Eje 3, ¿qué acciones debería adoptar su institución  y otras instituciones del sistema de CTCI  para garantizar una  política de igualdad de género efectiva?",P4 Apoyo en roles femineizados,P4 Paridad / igualdad,P4 Promover liderazgos femeninos,P4 Potenciar desde la educación,P4 Estudiar temas de género,P4 Cupos / cuotas de género,P4 Combatir la discriminación y violencia de género,P4 Promover participación de mujeres en ciencias/Investigación,P4 La investigación no debe estar ligada al género,P4 Evaluación ciega y transparente
413,12/28/2020 16:33:19,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1998,"Estudiante, educación universitaria pregrado",Universidad,Ingeniería y Tecnología,,"Para disminuir las brechas ya existentes en términos de equidad de género y habilitar las condiciones para que estas sean supervisadas, trabajadas y eliminadas, de modo que en el futuro se pueda asegurar un trabajo igualitario entre hombres, mujeres y disidencias, dentro del Sistema CTCI.",TRUE,-,-,-,-,-,-,-,TRUE,-,TRUE,TRUE,-,-,-,-,-,-,"· Habilitar cupos especiales para mujeres y disidencias en programas de estudio con baja representacion 
· Promover  resguardar y fiscalizar la creacion de politicas internas  instancias de difusion  conversacion y capacitacion en torno a la igualdad de genero en todos los organismos que conforman el Sistema  Parte vital para que esto funcione es realizar un seguimiento periodico de como estos han colaborado en la disminucion de las brechas particulares de cada institucion  de modo que la instauracion de estos instrumentos no quede solo en el papel 
· Priorizar la representacion de mujeres en instancias de difusion  comunicacion y transferencia de CTCI  en conjunto con las campañas ya existentes para promover la incorporacion de niñas y jovenes en I+D ",TRUE,-,TRUE,TRUE,-,-,-,TRUE,-,-,TRUE,Desde la generacion de ambientes laborales y de desarrollo optimos para todas  todos y todes  dar cabida a que hayan mas mujeres y disidencias a la cabeza de la creacion de proyectos de investigacion  ,-,-,TRUE,-,-,-,TRUE,-,-,-,Asegurar el correcto funcionamiento de los organismos supervisores reguladores en materia de igualdad de genero  creando instancias participativas vinculantes con las mismas bases  para que estas puedan acoger las problematicas ya existentes directamente de quienes participan en la institucion  Tambien  difundir correctamente los lineamientos en esta materia para que todes puedan conocerlo de antemano  Todo esto debe darse desde la concepcion de que la igualdad de genero es una materia en constante evolucion y debate  por lo que se hace necesario que las instituciones tengan personas competentes en el area que puedan diagnosticar  evaluar y anticiparse a estos cambios ,-,TRUE,-,-,-,-,-,-,-,-
414,12/28/2020 16:33:31,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1975,Docencia pre grado,Universidad,Ciencias Naturales y Exactas,Ciencias Biológicas,Porque existe una baja participación de mujeres en algunas áreas de la Ciencia y la tecnología.,TRUE,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,Realizar charlas motivacionales a estudiantes de educacion media  para que continuen sus estudios en carreras cientificas  Generar becas atractivas para que niñas se motiven a estudiar carreras cientificas  Velar por que las promociones academicas se hagan en base a meritos  Abrir espacios de participacion para mujeres y cargos de importancia  Velar por generar espacios que compatibilicen la familia y la investigacion  ,TRUE,TRUE,-,TRUE,-,-,TRUE,TRUE,-,-,-,Visibilizando la labor de mujeres en Ciencias  Realizando conversatorio y charlas en espacios publicos o en colegios ,-,TRUE,-,-,-,-,-,TRUE,-,-,Deberian implementarse politicas claras de contratacion y promocion academica  donde se priorice la contratacion de mujeres  en caso de igualdad de CV  A estas politicas se les debe hacer seguimiento a traves de una oficina de Equidad de Genero  Ademas se debiesen castigar las conductas discriminatorias  de abuso o de acoso por genero ,-,TRUE,-,-,-,-,TRUE,-,-,-
415,12/28/2020 16:41:23,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1964,Divulgación/comunicación científica,Universidad,Ciencias Médicas y de la Salud,Enfermería,"Es necesario dar pasos para disminuir las brechas de las mujeres en conocimiento,
ciencia, tecnología e innovación.",TRUE,-,-,-,-,TRUE,-,-,TRUE,-,TRUE,-,-,-,-,-,-,-,"1   Asegurar la participacion y progresion de la carrera de las mujeres en la I+D+i 
  Mantener los beneficios de beca al menos por un año a estudiantes que tienen 
  hijos as  
  Promover la participacion de mujeres en carreras  de hombres  y viceversa 
  tambien 
  incentivar a las empresas que promuevan el estado de bienestar
2   Promover el liderazgo en la I+D+i 
De acuerdo con asignar una cuota para mujeres en cargos de alta jerarquia en todos los estamentos existentes
3   Incorporar la perspectiva de genero en nuestra cultura y nuestras conductas  Incorporar la perspectiva de genero en los textos escolares desde la educacion de parvulo y con mayor enfasis en las educacion superior en carreras de educacion ",-,TRUE,-,TRUE,-,TRUE,TRUE,TRUE,TRUE,-,-,Considero que hoy esta ausente la perspectiva de genero incorporada en la enseñanza de las carreras de la salud en general  lo que origina desigualdades en la atencion de salud  en particular hacia mujeres y personas con diferentes orientaciones sexuales  Es necesario incorporar una conciencia de genero en la formacion inicial de profesionales del area de la salud ,-,-,-,TRUE,TRUE,-,-,-,-,-,Promover aun mas la investigaciones de temas de genero  realizar mayor difusion de las politicas orientadas a la equidad de genero y mantener el compromiso con la contratacion y ascenso de mujeres dentro de la institucion y promover buenas practicas que permitan compatibilizar la vida laboral con el ambito personal y familiar,TRUE,TRUE,-,TRUE,TRUE,-,TRUE,TRUE,-,-
416,12/28/2020 16:42:59,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1992,"Investigación y desarrollo (I+D), Estudiante de posgrado  (doctorado, magíster o equivalente conducente a grado académico)",Universidad,Ciencias Sociales,psicología,Por qué el desarrollo en ciencias para las mujeres sigue presentando barreras tanto de acceso como de mantención en puestos de mayor desarrollo o liderazgo.  ,TRUE,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,"Quizas la consideracion por ejemplo de las brechas de genero en las postulaciones a los fondos de investigacion  asi como fomentar que los mismos proyectos puedan tener incentivos a que los equipos tengan paridad de genero podria contribuir en esta materia  
Tambien fomentar que los mismos proyectos de investigacion tengan difusion en la comunidad  considerandose relevante en los puntajes  fondecyt  esto creo que podria contribuir a bajar la ciencia por un lado  y acercar o fomentar el desarrollo de iniciativas que incorporen a niñas y adolescentes   
",TRUE,-,TRUE,-,-,-,TRUE,-,-,-,-,En psicologia la perspectiva de genero podria ser incorporada desde el incentivo en el desarrollo de investigaciones que consideren el genero como eje tematico ,TRUE,-,-,-,TRUE,-,-,-,-,-,fomentar la inclusion y participacion de mujeres en altos cargos dentro de las mismas organizaciones  ya sea con cupos o con incentivos de participacion en proyectos que faciliten la incorporacion de mujeres en los proyectos  ,-,-,TRUE,-,-,-,-,TRUE,-,-
417,12/28/2020 16:56:15,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1979,Investigación y desarrollo (I+D),Universidad,Ciencias Naturales y Exactas,Neurociencias,Porque aun existe un castigo no intencionado a la maternidad,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Postnatal parenteral  madres y padres   mantencion de prorrogas a lo largo de los concursos  Si a uno le dan prorroga postnatal  que esos plazos se mantengan en las postulaciones a futuros concursos   ,-,TRUE,-,-,-,-,-,-,-,-,-,Entender mejor el rol de la maternidad y como esta se castiga en nuestra sociedad  especialmente en ciencias  Hay un tema de genero  pero tambien  y aun mas fuerte  un tema de castigo a la maternidad ,-,-,-,-,-,-,-,-,-,-,Una forma es exigir Departamento de genero en cada institucion  aunque creo que no ha sido efectiva  Mucho mas efectivo es que la agencia de gobierno que administra los fondos  ANID  se rija segun ranking y certificaciones que haga una entidad independiente  Un caso ejemplar es ATHENA Swan en el Reino Unido  Otorga certificados a las instituciones segun su desempeño en igualdad de genero y proteccion de familia  maternidad Y paternidad   Segun esos certificados las universidades pueden optar a postular a fondos concursantes que financian investigacion  Asi  por ejemplo  si una universidad tiene solo certificacion bronce  en escala oro  plata y bronce   no podrian postular a concursos milenio o a fondequip  ANID podria exigir requerimientos minimos a las instituciones para que puedan optar a sus fondos ,TRUE,TRUE,-,-,-,-,-,-,-,-
418,12/28/2020 17:01:17,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1951,Docencia superior - investigación,Universidad,Ciencias Naturales y Exactas,Matemática,Sí,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Igualdad salarial   Reglas no discriminatorias en concursos y promociones  La aplicacion de estas reglas deben ser fiscalizada  Politicas y protocolos para el tratamiento de  las dificultades adicionales como consecuencia de la maternidad  Reglas proactivas para la designacion de mujeres en cargos directivos  Promocion de la Ciencia y Tecnologia entre las jovenes ,TRUE,TRUE,TRUE,-,-,-,TRUE,-,-,-,-,No creo que en matematica pura haya una perspectiva de genero ,-,-,-,-,TRUE,-,-,-,TRUE,TRUE,Todas las mencionadas en la pregunta 2  Entiendo que mi Universidad ya lo esta implementando ,-,-,-,-,-,-,-,-,-,-
419,12/28/2020 17:03:40,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1985,"Investigación y desarrollo (I+D), Académica Facultad de Artes",Universidad,Humanidades y Artes,teatro y archivos,"Porque es un país desigual, con prácticas discriminatorias que ameritan ser remediadas.",TRUE,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,Creo que deberia incentivar puntajes  priorizar por un periodo equipos conformados y liderados por mujeres  considerar otras medidas no solo cualitativas en la evaluacion de curriculo y trayectoria profesional  Al mismo tiempo repensar logicas metodologicas propias del sistema patriarcal,-,-,-,-,-,-,TRUE,-,-,-,-,Por medio de medidas concretas y explicitas  no solo declaraciones de principios  Es decir  valorando y promoviendo marcos teoricos y estructuras organizativas con perspectiva de genero  es decir que no deban necesariamente reproducir una logica jerarquizada o progresiva  mantener cuotas de genero para promover la equidad  considerar como resultado de la investigacion y el desarrollo nuevos productos que esten en la linea del vinculo con la responsabilidad de genero  producir marcos teoricos ampliados desde la practica artistica que permitan desde la practica y sus metodologias visibilizar y generar saberes paralelos al monopolio ideologico patriarcal,TRUE,-,TRUE,TRUE,TRUE,-,-,TRUE,-,TRUE,Mi institucion deberia generar comisiones de genero en las diferentes mesas o grupos de investigacion  Fomentar la contratacion y el avance del desarrollo de la carrera academica de mujeres y la contratacion de mujeres en cargos de responsabilidad a modo de ejemplo para el reparto  la remuneracion y el reconocimiento de mujeres  proyectos liderados por mujeres y con sobre perspectiva de genero  Asimismo  transparentar las practicas  los procesos evaluativos y los nombramientos y adjudicaciones para despejar sesgo de discriminacion de genero  Incluir en los temas de genero las disidencias y minorias ,TRUE,TRUE,TRUE,-,TRUE,-,TRUE,TRUE,TRUE,TRUE
420,12/28/2020 17:19:48,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1985,"Investigación y desarrollo (I+D), Docencia",Universidad,Ciencias Sociales,Sociología,Para avanzar y dar más oportunidades a las mujeres,TRUE,-,-,-,-,-,TRUE,TRUE,-,-,-,-,-,-,-,-,-,-,Visibilizando el aporte de mujeres en todas las areas del saber,-,-,-,-,-,-,-,-,-,-,-,Explicitar que significa tener perspectiva de genero,-,-,-,-,TRUE,-,-,-,-,-,No destinar a mujeres en cargos de gestion menores,-,-,TRUE,-,-,-,-,-,-,-
421,12/28/2020 17:24:49,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1977,"Investigación y desarrollo (I+D), Emprendimiento de base científico-tecnológico",Universidad,Ingeniería y Tecnología,Matemática Computac.,"Porque hay inequidades en la CTCI producto del género, que deben ser abordadas por las instituciones, y a escala global, por el estado.",TRUE,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,Consideraciones especiales para mujeres que tuvieron hijos  Becas fondos especiales para mujeres  que ayuden a disminuir la brecha en las areas con mayor necesidad ,-,TRUE,-,-,-,-,-,TRUE,-,-,-,No es un aspecto muy relevante en mi area de desempeño  modelos matematicos   Pero si hay un gran asimetria de genero  que se debe considerar ,-,-,-,-,-,-,-,-,-,-,Comunicacion inclusiva  Fortalecer la visualizacion de mujeres en CTCI  Fomentar desfomentar aquellas conductas mas propias de un genero que sobre el otro  por ejemplo  el trabajo en equipo   Disminuir las brechas de igualdad en los cargos academicos de las universidades ,-,TRUE,TRUE,-,-,-,-,-,-,-
422,12/28/2020 17:37:40,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1982,Investigación y desarrollo (I+D),Universidad,Ciencias Sociales,,"La política debe estar orientada en principio a la formación. Se forman mujeres como profesionales, y hombres como investigadores",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,El primer paso para permitir el desarrollo y liderazgo de mujeres en CTCI es aumentar la masa critica de mujeres participando en el sistema CTCI,-,-,-,-,-,-,TRUE,-,-,-,-,Mi disciplina es pionera en el desarrollo de la perspectiva de genero en Chile y el mundo  En la academia es necesario estandarizar en cuotas las proporciones de genero de los academicos en funcion de la proporcion de genero de los estudiantes  No puede ser que en carreras donde el 80% de las estudiantes son mujeres  el 80% de los profesores sean hombres  Eso indica un principio de discriminacion que pretende apoyar la idea de que los hombres son los que deben seguir carreras de investigadores,-,-,TRUE,TRUE,TRUE,-,-,-,-,-,aumentar cuotas de mujeres en cargos directivos en el sistema universitario  crear oficinas de igualdad de genero como requisito de acreditacion,-,TRUE,TRUE,-,-,TRUE,-,-,-,-
423,12/28/2020 17:40:52,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1975,academico,Universidad,Ciencias Médicas y de la Salud,odontologia,porque las politicas de genero son necesarias en TODAS las areas,TRUE,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,contratos que incluyan maternidad  licencias medicas  no honorarios,-,TRUE,-,-,-,-,-,-,-,-,-,teletrabajo  contratacion que incluya licencias medicas y maternales,-,-,-,-,-,-,-,-,-,-,bonificaciones extraordinarias a las mujeres que investigan,-,-,-,-,-,-,-,TRUE,-,-
424,12/28/2020 17:41:01,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1975,Investigación y desarrollo (I+D),Universidad,Ciencias Médicas y de la Salud,Ciencias Biomédicas,"Yo creo que es importante asegurar la participación de hombres y mujeres, en todos los ámbitos. Esto porque ambos pueden aportar mayor diversidad en la generación de las políticas que marquen los lineamientos a seguir a futuro",TRUE,-,-,-,-,-,TRUE,TRUE,-,TRUE,-,-,-,-,-,-,-,-,Es un tema complejo  pues la idea es favorecer la participacion de mujeres  sin discriminar al hombre solo por el hecho de ser hombre  Creo que una manera de garantizar el acceso  desarrollo y el liderazgo de las mujeres es incentivar a las jovenes a estudiar carreras cientificas  estimular a las estudiantes a continuar en la academia y asi mejorar su representatividad   ,TRUE,-,TRUE,-,-,-,TRUE,-,-,-,-,"Mi area de trabajo son las ciencias biomedicas y he participado muchos años en uno de los grupos de estudio de Fondecyt  En estos grupos no existe actualmente una perspectiva de genero  Sin embargo  operando de manera abierta y en base a la calidad cientifica de los academicos y disposicion a integrar el grupo de estudio  logramos de manera espontanea una razon hombre mujer casi 1.1  Lo mismo en las tasas de adjudicacion de proyectos en los concursos regulares  
Creo que la representacion de mujeres en la academia ha ido aumentando a lo largo de los años  y eso ha ido generando estos cambios 
Esto no es un fenomeno general  al menos el Latinoamerica  sino parece ser algo particular que esta ocurriendo en Chile  y tal vez en Argentina  Hace unos años participe en un simposio donde se abordaba la participacion de la mujer en una determinada disciplina de las ciencias biologicas  y con gusto pude ver que los indicadores Chilenos eran mucho mejores que la de paises vecinos  pero aun hay cosas que mejorar ",-,-,TRUE,TRUE,TRUE,-,TRUE,-,TRUE,-,"Un punto clave que las instituciones deben adoptar es establecer evaluaciones academicas claras  con cargas academicas ajustadas a los tiempos de contrato con la institucion 
El exceso de horas de docencia  van en directo desmedro de la cantidad de horas de dedicacion a la investigacion  Las horas de docencia solo consideran las horas frente a curso  no las horas de preparacion de clases  instrumentos de evaluacion y gestion asociada a las clases  Esto hace que las horas de dedicacion a la investigacion se reduzcan muchisimo  y por lo tanto  la investigacion se desarrolla principalmente en las horas extralaborales  En este contexto  esto afecta no solo a las mujeres  sino tambien a los hombres que tenemos una activa participacion en las labores de familia  Entonces esto deja de ser un problema de genero y pasa a ser un tema de Cuanto tiempo extra de mi jornada laboral puedo dedicar a la investigacion  ",-,-,-,-,TRUE,-,TRUE,TRUE,TRUE,-
425,12/28/2020 17:53:36,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1985,Investigación y desarrollo (I+D),Universidad,Ciencias Sociales,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
426,12/28/2020 18:23:10,"Sí, autorizo.",Prefiero no responder,Prefiero no responder,XII de Magallanes,Austral,1980,Investigación y desarrollo (I+D),Universidad,Ciencias Naturales y Exactas,,"Por que existe la percepción de que hay un problema grave de inequidad, y se piensa que actuando a diferentes niveles se pueden obtener resultados que lleven a la igualdad, cuando la verdad es que la igualdad no existe. Todos somos diferentes, el mismo valor como persona, y el sexo o género no nos hace valer menos, solo nos hace diferentes. ",TRUE,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,"El liderazgo tiene que ver con capacidades individuales  las cuales se pueden tener o adquirir  Adquirirlas lleva tiempo y dinero  Por lo tanto los mecanismos deben apuntar a dar mas tiempo y dinero  Que al final del dia para adquirir habilidades son lo mismo  Ejemplo  si tengo sala cuna o le puedo pagar a una nana  entonces puedo hacer el diplomado que deseo  si no  no puedo  La contribucion al cambio cultural desde la ciencia es minimo  insignificante  por que la ciencia es una elite  y el cambio cultural para ser tal  debe apuntar a las masas  A cualquier nivel la forma de crear oportunidades es crear tiempo  Desde luego pensamos en un escenario en donde la mujer puede estudiar y el marido no la golpea por hacerlo  realidad no 
Los dos componentes del eje son atingentes  el tercero se golpea con la realidad  en donde la ciencia puede hacer algo sobre el porcentaje insignificante de personas que se dedican a la ciencia  pensar lo contrario es irreal ",-,TRUE,-,-,-,-,TRUE,-,TRUE,-,TRUE,Esto es invertir recursos en elementos utiles solo para quienes desean escuchar  no para quienes lo necesitan  El eje 1  con foco en las etapas tempranas  primer componente  es el que parece mas relevantes en una escala de magnitud superior a lo indicado en este eje 2 ,-,-,TRUE,-,-,-,-,-,-,-,Nuevamente caer en el sobre diagnostico de una realidad clara  Los numeros lo dicen  hay una brecha  la pregunta es si eso es por esencia malo  El ejemplo de Alemania  es interesante no  el de Japon  no son paises subdesarrollados no   La realidad es que se desea generar equidad  es una apuesta  y esta muy bien  Pero vender que esto es necesariamente lo mejor para nuestra sociedad es creerse dueño de la verdad  y eso no parece ser bueno  Que pasa con los elementos en que las mujeres debido a sus capacidades destacan por sobre los hombre  por que no destacar eso  hay un sesgo que conduce a una percepcion de la realidad  Pienso que la discusion deberia ser mas amplia  incorporar a todos los grupos  Todos somos personas  hombres  mujeres  y quienes no estan en  esas categorias tambien  Es importante dar oportunidad a todas las visiones  incluso aquellas que no estan de acuerdo con invertir recursos en una institucionalidad que deberia tener un foco mucho mas practico  mas alla de lo academico conceptual  Y esta institucionalidad lo que hace es burocratizar e inyectar recursos que debiesen estar en los elementos practicos  Mas salas cunas  mas flexibilidad laboral  apoyo monetario a los cuidadores de adultos mayores o personas con discapacidad  Y eso independiente del genero  Pero desde luego tendra mas impacto en quienes ahora no estan en igualdad de condiciones  nuevamente independiente del genero  ,TRUE,TRUE,-,TRUE,-,-,TRUE,TRUE,-,TRUE
427,12/28/2020 19:08:23,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1971,Investigación y desarrollo (I+D),Universidad,Humanidades y Artes,,"Usaría, más que la palabra ""igualdad"", la de ""equidad"". Es necesaria porque vivimos en un sistema de grandes brechas que pauperizan la experiencia y limitan el acceso de las mujeres al trabajo. No solo es un problema económico, sino también simbólico. Las mujeres tienen enormes dificultades para acceder a cargos de decisión, son excluidas de los mecanismos de poder. Yo aspiraría más que a una política de ""igualdad"" que puede ser entendida como ""cuoteo"", a una de ""equidad"", justicia, en que las mujeres incluso podrían llegar un lugar mayor que sus colegas varones si sus capacidades son mayores. ",TRUE,-,-,-,-,-,-,-,TRUE,-,TRUE,TRUE,-,-,-,-,-,-,El mayor problema es la educacion temprana  Todo lo que viene despues se consolida en la escuela  Puede que las mujeres entren a estudiar carreras vinculadas con el sistema CTCI pero sean desincentivadas por todo un contexto que se ha formado en la misoginia y el patriarcalismo  ,-,-,-,TRUE,-,-,-,-,-,-,-,Las Humanidades son altamente misoginas  Se suele dar autoridad a las voces masculinas por sobre las femeninas  y tambien hay otras formas de discriminacion que han encumbrado la autoria masculina  cisgenero  heterosexual  blanca  Hay que hacer una profunda revision de las lecturas escolares  de las practicas mas anodinas y cotidianas  desaprender los aprendizajes sesgados  invertir mucho en educacion publica de calidad  en suma  Algo que un gobierno de derecha no hara  Pero de todos modos respondo esta encuesta  ,-,TRUE,-,TRUE,-,-,-,-,-,-,Las universidades y la mia en particular estan dando los primeros pasos en estas materias  Donde trabajo hay muchos departamentos y direcciones que de algun modo u otro tienen relacion con estos temas  debieran integrarse y trabajar coordinadamente  Se debiera invertir mas en asistencia psicologica para trabajar los casos de abuso  Se debieran generar instancias efectivas  simbolicas y materiales  en que la voz de la mujer fuese respetada  Lamentablemente  muchas veces la integracion se confunde con el cuoteo y un cambio cultural implica mucho mas que eso  ,-,-,-,TRUE,-,-,TRUE,-,-,-
428,12/28/2020 19:11:04,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1969,Investigación y desarrollo (I+D),Universidad,Ciencias Sociales,Antropología,"Indiscutiblemente se requiere una política de genero, la igualdad debe ser un marco desde el cual deben activarse condiciones para mejorar e incrementar el aporte, y el reconocimiento de las mujeres en ciencia, tecnología e innovación, se requiere considerar las complejas trayectorias académicas de las mujeres, es indispensable estimular y validar el conocimiento y el aporte en la reflexión desde las mujeres en el desarrollo del pais. ",TRUE,-,-,-,TRUE,TRUE,TRUE,-,-,-,-,-,TRUE,-,-,-,-,-,difundir trayectorias investigativas de las mujeres  mejorar y flexibilizar mecanismos de medicion y evaluacion del desempeño de las mujeres  se requiere flexibilizar estos  las publicaciones indexadas solo reproducen la desigualdad de genero   aportar en la difusion de i+d+i lideradas por mujeres o en donde participan mujeres  se requiere evidenciar el aporte de las mujeres  + la carga docente y la carga en investigacion tiene efectos diferenciados tanto para hombres y mujeres eso no es visible y las instituciones universitarias reproducen estas logicas incrementando la desigualdad  Se debe promover investigacion liderada y constituida principalmente por equipos que evidencien paridad ,-,-,TRUE,-,-,-,TRUE,-,-,-,-,en general la investigacion la abordo siempre desde una perspectiva de genero  promuevo como requisito estructurante considerar esta en el desarrollo de la investigacion de pregrado y de las tesis que dirijo  Incorporo y tengo especial cuidado en promover informacion  educacion comunicacion con perspectiva de genero  ,-,TRUE,-,-,TRUE,-,-,-,-,-,promover sistemas diferenciados de jerarquizacion y evaluacion  Contribuir de forma mas explicita y activa en procesos de comunicacion de las contribuciones de las mujeres en ciencias sociales y ciencias  Se requiere un mecanismo diferenciado de evaluacion de las carreras docentes  la revision de cargas academicas e investigativas estan muy alejadas de la realidad de las mujeres  Se debe estimular y premiar el trabajo colaborativo  la participacion de equipos paritarios o liderados por mujeres  etc  Se deben mejorar las condiciones de contrato y salario en las Universidades ,-,-,TRUE,TRUE,TRUE,-,-,TRUE,-,-
429,12/28/2020 19:15:42,"Sí, autorizo.",Hombre,Masculino,XIV de Los Ríos,Sur,1969,Investigación y desarrollo (I+D),Universidad,Ingeniería y Tecnología,Acústica,Si,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Asegurar igualdad de oportunidades en igualdad de condiciones  ,-,-,TRUE,-,-,-,-,-,-,-,-,Ante igualdad de meritos  favorecer a una mujer  ,-,-,-,TRUE,-,-,-,-,-,-,No tengo sugerencias ,-,-,-,-,-,-,-,-,-,-
430,12/28/2020 19:30:03,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1972,Investigación y desarrollo (I+D),Universidad,Ingeniería y Tecnología,Ingeniería Biomédica,Para regular la actividad,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Si el tema es igualdad de genero  creo que es un error enfocarse en las mujeres solamente  Es cierto que en muchos aspectos las mujeres han sido discriminadas  pero los hombres tambien  Un solo ejemplo   que incentivo hay para ser investigador hombre y padre responsable si practicamente todo los beneficios postnatales son para las mujeres ,-,-,TRUE,-,-,-,TRUE,-,-,-,-,Creando beneficios  discriminacion positiva  en areas poco pobladas por un genero especifico  Ejemplos  becas para que hombres estudien enfermeria  becas para que mujeres estudien de ingenieria,-,-,-,TRUE,-,-,-,-,-,-,Discriminacion positiva en areas poco pobladas por un genero en especifico,-,TRUE,-,-,-,TRUE,-,-,-,-
431,12/28/2020 19:50:45,"Sí, autorizo.",Mujer,Femenino,V de Valparaíso,Centro,1980,"Estudiante de posgrado  (doctorado, magíster o equivalente conducente a grado académico), DOCENCIA Y GESTION UNIVERSITARIA ",Universidad,Ciencias Sociales,HUMANIDADES,Porque el conocimiento está sesgado por la perspectiva masculina ,TRUE,-,-,-,-,TRUE,-,-,TRUE,-,-,-,-,-,-,-,-,-,el tiempo protegido para el desarrollo y difusion de investigacion,-,-,-,-,-,-,TRUE,-,-,-,-,problematizando los fenomenos sociales desde el genero y desde ahi detectar necesidades de investigacion aplicada,TRUE,-,-,-,-,-,-,-,-,TRUE,reconocer y proteger horas para destinar a la investigacion,-,-,-,-,-,-,-,-,-,-
